0,1
0.0,-306.0
22.0,-306.0
44.0,-306.0
0.0,-291.0
22.0,-291.0
44.0,-291.0
0.0,-276.0
22.0,-276.0
44.0,-276.0
0.0,-261.0
22.0,-261.0
44.0,-261.0
0.0,-246.0
22.0,-246.0
44.0,-246.0
0.0,-231.0
22.0,-231.0
44.0,-231.0
0.0,-216.0
22.0,-216.0
44.0,-216.0
0.0,-201.0
22.0,-201.0
44.0,-201.0
0.0,-186.0
22.0,-186.0
44.0,-186.0
0.0,-171.0
22.0,-171.0
44.0,-171.0
0.0,-156.0
22.0,-156.0
44.0,-156.0
0.0,-141.0
22.0,-141.0
44.0,-141.0
0.0,-126.0
22.0,-126.0
44.0,-126.0
0.0,-111.0
22.0,-111.0
44.0,-111.0
0.0,-96.0
22.0,-96.0
44.0,-96.0
0.0,-81.0
22.0,-81.0
44.0,-81.0
0.0,-66.0
22.0,-66.0
44.0,-66.0
0.0,-51.0
22.0,-51.0
44.0,-51.0
0.0,-36.0
22.0,-36.0
44.0,-36.0
0.0,-21.0
22.0,-21.0
44.0,-21.0
0.0,-6.0
22.0,-6.0
44.0,-6.0
0.0,9.0
